"treatment","handle","gender","race","educ","partisan"
"intolerant","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"intolerant","Reduce how many people can see the post ","Female","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"control","Leave it, do nothing","Male","Others","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Female","White","College","target: democrats"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"uncivil","Leave it, do nothing","Female","White","College","target: democrats"
"threatening","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Male","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"threatening","Place a warning label on the post ","Male","Others","PhD","target: republicans"
"threatening","Reduce how many people can see the post ","Female","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Male","White","Professional degree","target: democrats"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"uncivil","Leave it, do nothing","Female","White","College","target: republicans"
"threatening","Place a warning label on the post ","Female","Black","College","target: democrats"
"control","Place a warning label on the post ","Male","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","Postgraduate","target: democrats"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate","non-group-related control"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: republicans"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"uncivil","Place a warning label on the post ","Female","White","Less than high school","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","College","non-group-related control"
"uncivil","Leave it, do nothing","Male","Hispanic","College","target: republicans"
"control","Leave it, do nothing","Other","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"threatening","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"intolerant","Place a warning label on the post ","Female","Black","High school graduate","target: republicans"
"threatening","Permanently remove the post ","Male","Hispanic","College","target: republicans"
"threatening","Permanently remove the post ","Female","White","High school graduate","target: democrats"
"uncivil","Reduce how many people can see the post ","Male","Others","College","target: republicans"
"control","Leave it, do nothing","Male","Black","High school graduate","target: republicans"
"intolerant","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"intolerant","Leave it, do nothing","Female","White","Postgraduate","target: democrats"
"threatening","Place a warning label on the post ","Male","White","Postgraduate","target: democrats"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"intolerant","Place a warning label on the post ","Male","White","Professional degree","target: republicans"
"control","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"threatening","Permanently remove the post ","Female","White","College","target: republicans"
"control","Leave it, do nothing","Female","Black","College","target: democrats"
"control","Leave it, do nothing","Female","Hispanic","High school graduate,College","target: republicans"
"control","Place a warning label on the post ","Female","Others","Professional degree","target: democrats"
"intolerant","Reduce how many people can see the post ","Female","Others","College","target: democrats"
"uncivil","Leave it, do nothing","Male","White","College","target: democrats"
"control","Permanently remove the post ","Male","White","College","target: democrats"
"threatening","Leave it, do nothing","Male","Others","PhD","target: republicans"
"threatening","Place a warning label on the post ","Male","Black","Postgraduate","target: democrats"
"threatening","Leave it, do nothing","Female","White","College","target: democrats"
"uncivil","Leave it, do nothing","Female","Others","College","target: republicans"
"non-group-related control","Leave it, do nothing","Female","White","College","non-group-related control"
"uncivil","Reduce how many people can see the post ","Male","White","High school graduate","target: republicans"
"intolerant","Leave it, do nothing","Female","White","College","target: democrats"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Female","Others","College","target: republicans"
"threatening","Place a warning label on the post ","Female","White","High school graduate","target: republicans"
"uncivil","Reduce how many people can see the post ","Male","White","Professional degree","target: democrats"
"uncivil","Place a warning label on the post ","Male","Black","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Female","Others","College","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","Postgraduate","target: democrats"
"non-group-related control","Leave it, do nothing","Male","Hispanic","College","non-group-related control"
"control","Leave it, do nothing","Male","White","College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"control","Leave it, do nothing","Female","Hispanic","College","target: democrats"
"control","Place a warning label on the post ","Female","White","Professional degree","target: democrats"
"uncivil","Place a warning label on the post ","Male","Hispanic","College","target: democrats"
"intolerant","Leave it, do nothing","Male","Black","College","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","Postgraduate","non-group-related control"
"non-group-related control","Leave it, do nothing","Male","White","PhD","non-group-related control"
"threatening","Permanently remove the post ","Male",NA,"High school graduate","target: republicans"
"uncivil","Leave it, do nothing","Female","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"uncivil","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"uncivil","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"threatening","Permanently remove the post ","Male","Black","High school graduate","target: democrats"
"threatening","Permanently remove the post ","Female","White","High school graduate","target: democrats"
"uncivil","Place a warning label on the post ","Male","White","High school graduate","target: democrats"
"threatening","Reduce how many people can see the post ","Male","White","College","target: democrats"
"intolerant","Permanently remove the post ","Female","White","Postgraduate","target: republicans"
"threatening","Permanently remove the post ","Male","Hispanic","Postgraduate","target: republicans"
"intolerant","Leave it, do nothing","Male","White","College","target: democrats"
"control","Leave it, do nothing","Male","White","Professional degree","target: republicans"
"uncivil","Place a warning label on the post ","Male","White","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Other","Others","College","target: republicans"
"intolerant","Leave it, do nothing","Female","White","College","target: democrats"
"intolerant","Leave it, do nothing","Female","White","College","target: republicans"
"threatening","Leave it, do nothing","Female","Black","College","target: republicans"
"intolerant","Reduce how many people can see the post ","Male","White","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"threatening","Place a warning label on the post ","Male","White","College","target: republicans"
"intolerant","Leave it, do nothing","Female","Others","College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Male",NA,"College","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Male","Hispanic","College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"uncivil","Leave it, do nothing","Female",NA,"College","target: democrats"
"intolerant","Leave it, do nothing","Male","White","College","target: republicans"
